protein_id	gene_id	gene_symbol
FBpp0085154	FBgn0028968	gammaCOP
FBpp0303129	FBgn0028968	gammaCOP
FBpp0290505	FBgn0028968	gammaCOP
FBpp0085155	FBgn0028968	gammaCOP
FBpp0077865	FBgn0037004	CG17637
FBpp0077155	FBgn0020376	Sr-CIII
FBpp0297080	FBgn0036665	CG13024
FBpp0271828	FBgn0036665	CG13024
FBpp0309553	FBgn0031746	CG9029
FBpp0078774	FBgn0031746	CG9029
FBpp0074910	FBgn0036771	Wdr92
FBpp0086730	FBgn0020620	RN-tre
FBpp0086731	FBgn0020620	RN-tre
FBpp0303476	FBgn0020620	RN-tre
FBpp0303477	FBgn0020620	RN-tre
FBpp0086729	FBgn0020620	RN-tre
FBpp0271727	FBgn0038415	CG17929
FBpp0303900	FBgn0264303	wrm2
FBpp0303899	FBgn0264303	wrm2
FBpp0306966	FBgn0037365	CG2104
FBpp0078375	FBgn0037365	CG2104
FBpp0308756	FBgn0040309	Prx2
FBpp0073594	FBgn0040309	Prx2
FBpp0308757	FBgn0040309	Prx2
FBpp0073595	FBgn0040309	Prx2
FBpp0311371	FBgn0040309	Prx2
FBpp0293187	FBgn0262363	CG43061
FBpp0076429	FBgn0035867	CG13671
FBpp0085387	FBgn0033043	Or42b
FBpp0076443	FBgn0052364	tut
FBpp0082766	FBgn0038427	ema
FBpp0100104	FBgn0038427	ema
FBpp0307946	FBgn0038427	ema
FBpp0301577	FBgn0033234	MFS12
FBpp0293293	FBgn0033234	MFS12
FBpp0087925	FBgn0033234	MFS12
FBpp0085947	FBgn0266420	Ote
FBpp0306280	FBgn0051798	CG31798
FBpp0080741	FBgn0051798	CG31798
FBpp0307458	FBgn0083141	Spn28B
FBpp0079094	FBgn0083141	Spn28B
FBpp0310459	FBgn0003319	Sb
FBpp0082704	FBgn0003319	Sb
FBpp0087130	FBgn0050039	CG30039
FBpp0070977	FBgn0027342	fz4
FBpp0070976	FBgn0027342	fz4
FBpp0075913	FBgn0036152	Dyro
FBpp0305581	FBgn0036152	Dyro
FBpp0305580	FBgn0036152	Dyro
FBpp0075003	FBgn0036713	Mip
FBpp0297356	FBgn0038296	Kpc1
FBpp0082488	FBgn0038296	Kpc1
FBpp0076349	FBgn0086348	se
FBpp0081673	FBgn0266721	gammaSnap2
FBpp0305334	FBgn0036740	Vps60
FBpp0074964	FBgn0036740	Vps60
FBpp0289806	FBgn0261952	srw
FBpp0293450	FBgn0051665	wry
